"link_vacancy","vacancy_name","skills","create_time","salary","company","work_exp"
"https://spb.hh.ru/vacancy/46865480?from=vacancy_search_list&query=Python","Database Reliability Engineer (Oracle DBA) в Биллинг","['Python', 'PostgreSQL', 'ORACLE', 'Terraform', 'Grafana', 'SRE', 'DevOPS', 'Clickhouse', 'Go']","30 августа 2021","з/п не указана","Яндекс","3–6 лет"
"https://spb.hh.ru/vacancy/47164145?from=vacancy_search_list&query=Python","Lead Backend Developer, Node.js","['Node.js', 'PostgreSQL', 'Git', 'JavaScript', 'Docker', 'NATS', 'Nest.js', 'NodeJS', 'Elasticsearch', 'TypeScript', 'Socket.io', 'Kubernetes']","30 августа 2021","з/п не указана","AliRadar","1–3 года"
"https://spb.hh.ru/vacancy/44786462?from=vacancy_search_list&query=Python","QA engineer","['Функциональное тестирование', 'Английский язык', 'Разработка технических заданий', 'Проведение тестирований', 'Системное мышление', 'Техническая документация']","30 августа 2021","з/п не указана","ИСТ","1–3 года"
"https://spb.hh.ru/vacancy/45737534?from=vacancy_search_list&query=Python","Support Engineer - Unified Team [Remote]","['Английский\xa0— C1 — Продвинутый', 'Python', 'Linux', 'Business Development', 'Bash', 'Teamleading']","29 августа 2021","з/п не указана","Cloud Linux","3–6 лет"
"https://spb.hh.ru/vacancy/46423849?from=vacancy_search_list&query=Python","Инженер по автоматизации тестирования","['Английский\xa0— B1 — Средний', 'Git', 'Linux', 'ООП', 'Python', 'Java', 'RobotFramework']","30 августа 2021","з/п не указана","Wartsila","1–3 года"
"https://spb.hh.ru/vacancy/44077821?from=vacancy_search_list&query=Python","Go Developer (GKT Team)","[]","[]","","[]",""
"https://spb.hh.ru/vacancy/44534407?from=vacancy_search_list&query=Python","Senior QA-инженер в команду транспорта","[]","[]","","[]",""
"https://spb.hh.ru/vacancy/47168240?from=vacancy_search_list&query=Python","QA Engineer (Core Audio) remote","[]","[]","","[]",""
"https://spb.hh.ru/vacancy/47497194?from=vacancy_search_list&query=Python","Developer (Full stack) Platform Ops","[]","[]","","[]",""
"https://spb.hh.ru/vacancy/46628696?from=vacancy_search_list&query=Python","Senior Game Software Engineer","[]","30 августа 2021","з/п не указана","Wargaming, Moscow","3–6 лет"
"https://spb.hh.ru/vacancy/44517472?from=vacancy_search_list&query=Python","Программист С++ встраиваемых систем","[]","[]","","[]",""
"https://spb.hh.ru/vacancy/47486508?from=vacancy_search_list&query=Python","Golang developer","[]","[]","","[]",""
"https://spb.hh.ru/vacancy/43893980?from=vacancy_search_list&query=Python","Full-stack разработчик","[]","[]","","[]",""
"https://spb.hh.ru/vacancy/47130268?from=vacancy_search_list&query=Python","Инженер-программист встраиваемых систем (Embedded Firmware Engineer)","['Английский\xa0— B2 — Средне-продвинутый', 'Linux', 'C/C++', 'Английский язык', 'Embedded Linux', 'GCC', 'программирование', 'Разработка ПО', 'firmware', 'RTOS', 'mbed', 'Software Development', 'Embedded C', 'Linux drivers']","29 августа 2021","от 100 000 руб.","DMC","3–6 лет"
"https://spb.hh.ru/vacancy/47483670?from=vacancy_search_list&query=Python","Software Engineer","[]","[]","","[]",""
"https://spb.hh.ru/vacancy/46987917?from=vacancy_search_list&query=Python","Build engineer","['release engineer', 'build engineer', 'Git', 'Apache Maven', 'Java', 'Atlassian Jira', 'Linux', 'Gradle', 'ANT', 'Bamboo', 'Bitbucket', 'Bash', 'Python']","29 августа 2021","з/п не указана","Айфьючер","Старая Деревня"
"https://spb.hh.ru/vacancy/45536563?from=vacancy_search_list&query=Python","С++ developer","['Английский\xa0— B2 — Средне-продвинутый', 'Python', 'STL', 'MS Visual Studio', 'C++', 'Алгоритмы', 'вычислительная геометрия']","30 августа 2021","до 200 000 руб.","Wartsila","3–6 лет"
"https://spb.hh.ru/vacancy/47471969?from=vacancy_search_list&query=Python","DevOps инженер","[]","30 августа 2021","з/п не указана","Сбер для экспертов","1–3 года"
"https://spb.hh.ru/vacancy/46260906?from=vacancy_search_list&query=Python","Lead Network Engineer (Linux)","['Английский\xa0— B2 — Средне-продвинутый', 'Linux', 'Bash', 'Python', 'Ansible', 'Networking', 'AWS', 'CCNP', 'DevOps', 'SRE', 'Управление командой']","31 августа 2021","от 350 000 руб.","Alber Blanc","3–6 лет"
"https://spb.hh.ru/vacancy/47513747?from=vacancy_search_list&query=Python","Веб-разработчик","['Git', 'ООП', 'JavaScript', 'HTML', 'VueJS', 'CSS']","31 августа 2021","от 50 000 до 100 000 руб.","Геоинформационные Сервисы","1–3 года"
"https://spb.hh.ru/vacancy/45964952?from=vacancy_search_list&query=Python","Инженер по тестированию мобильных приложений (SuperAppKit)","[]","[]","","[]",""
